,id,cid,Background,Mouth,Hat,Eyes,Clothes,Fur,Earring,Clothes Group,Mouth Group,Hat Group,Eyes Group
91,3989,QmY4ee4vG3P9zT5kUDJVAMzs4MGxoQgxmi78b1L4AEstsy,Gray,Bored,Sea Captain's Hat,Hypnotized,Hawaiian,Cream,None,Hawaiian,Shaved,Sea Captain's Hat,Hypnotized
92,1651,QmR7q53Ar1Y5yWk6U9U6GFVEumLTSYk64GBmrrPGdS6dwx,Purple,Small Grin,Beanie,Closed,Sleeveless Logo T,Dark Brown,None,Black Clothes,White Teeth,Beanie,Closed
93,1341,QmdLHda6zXvkT9v7sumoFTLeiYxuGg4RjKnZRp7HCycVaB,Yellow,Bored Unshaven,Spinner Hat,Bored,Hip Hop,Cream,Silver Stud,Hip Hop,Unshaved,Spinner Hat,Bored
94,1376,QmP9yBL1UCsuytS73FEj9ZdwSguP65nN2qQHoSr6iR94U6,Yellow,Bored Unshaven,Halo,Bored,None,Gray,Silver Hoop,Unknown Basic Fur,Unshaved,Unknown Yellow BG,Bored
95,3589,QmaVp6QDnwkUEgSFQgxtPtKnqKuCNBMPVcZAVpxWbF5TMV,Gray,Grin,None,3d,Bayc T Black,Brown,Silver Stud,Black Clothes,White Teeth,Gray Hat,3d
96,2197,Qmc1U4A3nddfPagNdwSyc8EVX68yBUriBk82egZVCwsEQG,Yellow,Tongue Out,Beanie,Sleepy,Toga,Robot,None,Toga,Shaved,Beanie,Sleepy
97,4601,QmSU4nfQUVFqZFa6wW63iuAgSBN62wD9VKe6BNqNGPx4v6,New Punk Blue,Jovial,Party Hat 1,Sad,None,Red,Silver Stud,Unknown Basic Fur,Visible Tongue,Party Hat 1,Sad
98,9598,QmZuDsTmHpacwFytXECkRvx1tz6ewdWJnbsj8JfgcsYMjj,Gray,Bored Party Horn,None,Crazy,Caveman Pelt,Black,None,Caveman Pelt,Shaved,Gray Hat,Crazy
99,5352,QmQaPp53cp9UFpUqaQRdLqzYHwFj3cfTA3LJyegEpvKDns,Army Green,Bored,Vietnam Era Helmet,Bloodshot,Leather Jacket,Dmt,None,Black Clothes,Shaved,Kaki Hat,Bloodshot
100,3701,QmRZSyUExk4thAVHuLv6gxRpyqAFMNEowQYSGKp7Y8iMmx,Purple,Small Grin,Bandana Blue,Sleepy,Prison Jumpsuit,Brown,None,Prison Jumpsuit,White Teeth,Bandana Blue,Sleepy
101,9211,QmcgReiCWCty58J5r8ePvGuTp1s9MKoXXDPbaCFZKJm6FB,New Punk Blue,Bored Cigarette,Bayc Flipped Brim,Closed,Guayabera,Pink,None,Guayabera,Shaved,Bayc Flipped Brim,Closed
102,3319,QmP1D6gGHtrcgXJxe8hNp44N3h5Gi5RbUa6MuWGKpgSVJB,Purple,Bored,Cowboy Hat,Eyepatch,Black T,Brown,None,Black Clothes,Shaved,Cowboy Hat,Eyepatch
103,6891,Qma7WXNkpi9kLh2L39Y78ENExV2i2nyF3TyfayJwxKCmqS,Aquamarine,Phoneme L,Irish Boho,Angry,Prison Jumpsuit,Red,None,Prison Jumpsuit,Visible Tongue,Irish Boho,Angry
104,4948,QmRtPpN4MBWCnQLUBkN3Y6p3RFhh1pntkvBV39Yr3wctuV,Aquamarine,Phoneme Vuh,Stuntman Helmet,Bored,Sleeveless T,Black,None,Black Clothes,Shaved,Stuntman Helmet,Bored
105,9259,QmVCdgksA9zjbi7KXZSEHEbA4B4SYFs1VpTy1GFjcMcEry,Army Green,Bored,Irish Boho,Sad,Toga,Dark Brown,None,Toga,Shaved,Irish Boho,Sad
106,7552,QmZKRSA6vxUJPYX2DWHLwXYkfJ1H6gPaQuU5uvUVnKL2uK,Blue,Bored,Short Mohawk,Sleepy,Prison Jumpsuit,Red,None,Prison Jumpsuit,Shaved,Unknown Blue BG,Sleepy
107,2808,QmQ5mS3N9oudafxFs91EjLvjnhDCcgrw4LzZnr7Xfw5Sdy,Purple,Bored Cigarette,Safari,Bored,Leather Jacket,Brown,None,Black Clothes,Shaved,Safari,Bored
108,2024,QmZqtXqEoXDeZCiqKPuSKPEcnXZhCTfxfAc4ykHgQagacL,Yellow,Grin Diamond Grill,Beanie,Sad,Bayc T Red,Pink,None,Bayc T Red,Grin Diamond Grill,Beanie,Sad
109,6909,QmTGoYLbpGEEq5UgJ19uy4gwi6KJVoMsPKEPkQcqkpYW71,Blue,Bored,Spinner Hat,Closed,Hawaiian,Brown,None,Hawaiian,Shaved,Spinner Hat,Closed
110,9276,QmSPDFuxw2WxNHwgJNpK1ysTanGYRxYsCjyJYAiAFizU2Z,Blue,Bored,Beanie,Crazy,Striped Tee,Zombie,None,B&W Clothes,Shaved,Beanie,Crazy
111,9390,QmeyG6kH4A2D49iP5uHQpvwbfc9qiRA9q3iV77CdPzdVJW,Orange,Bored,Spinner Hat,Bored,Bone Necklace,Red,None,Unknown Basic Fur,Shaved,Spinner Hat,Bored
112,8108,QmZ5u7sYCCoDDH3dBLGVtTd8pXEVtxQQnJVy19jPodkgWV,Aquamarine,Grin,Cowboy Hat,Sunglasses,Hip Hop,Golden Brown,None,Hip Hop,White Teeth,Cowboy Hat,Sunglasses
113,8686,QmUUy5ZCP9Gm7bkGugT1pghTrfxcnBHhs8LBh1kpSHte8Q,Orange,Bored,Trippy Captain's Hat,Robot,Sleeveless T,Red,Silver Stud,Black Clothes,Shaved,Trippy Captain's Hat,Robot
114,2047,QmdJHjQ3ReNgv7HCDwmG6YRd1eQPSSo1GFhWKZLYrtczyv,Orange,Jovial,Horns,Bored,Blue Dress,Brown,None,Blue Dress,Visible Tongue,Unknown Orange BG,Bored
115,2039,QmUKkJTh2CLhjg5xW59e5cUqmfuEtZYNu3xDJGwCejMVrb,Gray,Bored Unshaven Cigarette,Bandana Blue,Heart,Caveman Pelt,Pink,None,Caveman Pelt,Unshaved,Bandana Blue,Heart
116,6944,QmaHErG8T9hh7CEGrPTZcXaHcqiZiorWh9fzZ3PB5ZEXut,Blue,Bored Unshaven Kazoo,Fisherman's Hat,Bored,Cowboy Shirt,Red,Diamond Stud,Cowboy Shirt,Unshaved,Fisherman's Hat,Bored
